REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xdf7eea53a715228160a14ccabde06d4888152e07cff9f5b8fc65084f8ca5a91c', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.5690198619612583, 1647331254]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x0b98fdd04daf984948a06a3d9d36f6590ff45af55ab5a3b0ac15ecebde1cdf0b', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 25000.0, 'eth', 0.7935933749734546, 1647330741]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x98267b9e1b986294ee20971d49a49aa2511b1f3e2c72aabe6ef65998b7494f1b', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 25000.0, 'eth', 0.7920210326756331, 1647330366]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xe9ff4e4043298b8551888c5719c062b5f180142371c2d3675ab479b2149eaaac', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.602507064285308, 1647330047]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x7abeec3ecfb4a997bfd53242e502f9c2f5f5e2861d3037a73882c97769b8c648', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.6276091300234918, 1647329992]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x10aec4ae804476a6f5d00fc72c425211a965906dafed3e6f2f36c19aab37dcba', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 250000.0, 'eth', 1.2392522367130967, 1647329825]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x32f0088d66a1eb4e14b81a2b1fe6646afca1c727df71da3eb49762173997de04', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 250000.0, 'eth', 1.2898050410922357, 1647328974]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x8451ffba6ecef191a40af01b056563e2626489dfd5fba02f601617447dc0d784', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.8445027957534862, 1647238064]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x22bdba346d10c879d095ff5320be6bb781015950e2b82bf9da1a3ec175d07722', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.8697515396327957, 1647237927]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x68f8d7a571da981ece8d4f7dbf54851a80d3d339c75d8f2b4d961b7d6b20dc94', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.8961503905808634, 1647237858]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x879afdedab0ac4307437c02456ff7b9bc4d51e93512d8da50a25b2d49fa8387d', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.9237702958601371, 1647237703]
